iter	Passed	Remaining
0	31	31804
1	61	30860
2	92	30671
3	123	30668
4	153	30473
5	190	31506
6	226	32085
7	255	31668
8	286	31554
9	318	31575
10	348	31365
11	377	31064
12	412	31326
13	449	31676
14	480	31578
15	510	31374
16	539	31203
17	568	31022
18	597	30847
19	629	30838
20	659	30739
21	685	30463
22	712	30260
23	741	30151
24	771	30079
25	796	29851
26	821	29600
27	849	29497
28	878	29406
29	905	29276
30	934	29218
31	973	29455
32	1005	29476
33	1036	29452
34	1069	29497
35	1104	29574
36	1126	29309
37	1149	29098
38	1176	28998
39	1201	28834
40	1230	28786
41	1258	28701
42	1280	28502
43	1309	28449
44	1332	28284
45	1358	28179
46	1385	28098
47	1414	28060
48	1440	27964
49	1460	27756
50	1495	27820
51	1515	27631
52	1541	27536
53	1577	27635
54	1596	27433
55	1612	27175
56	1634	27037
57	1658	26928
58	1682	26829
59	1705	26712
60	1730	26633
61	1760	26638
62	1777	26444
63	1795	26258
64	1816	26125
65	1837	26003
66	1863	25943
67	1887	25866
68	1908	25754
69	1934	25703
70	1951	25528
71	1970	25394
72	1990	25272
73	2018	25255
74	2043	25204
75	2064	25096
76	2083	24978
77	2099	24816
78	2121	24732
79	2161	24859
80	2190	24858
81	2263	25343
82	2285	25250
83	2323	25335
84	2344	25233
85	2388	25388
86	2420	25403
87	2437	25265
88	2464	25223
89	2486	25140
90	2502	24999
91	2528	24956
92	2544	24818
93	2561	24684
94	2576	24541
95	2594	24432
96	2610	24301
97	2631	24219
98	2654	24155
99	2673	24065
100	2690	23943
101	2712	23877
102	2739	23853
103	2761	23790
104	2783	23727
105	2802	23639
106	2820	23538
107	2841	23467
108	2866	23430
109	2891	23394
110	2917	23363
111	2939	23309
112	2963	23259
113	2979	23155
114	2996	23062
115	3019	23014
116	3045	22982
117	3066	22919
118	3084	22834
119	3102	22753
120	3128	22727
121	3150	22671
122	3180	22679
123	3200	22610
124	3219	22533
125	3247	22523
126	3271	22489
127	3291	22421
128	3313	22372
129	3334	22317
130	3359	22283
131	3385	22259
132	3410	22233
133	3438	22218
134	3465	22202
135	3487	22156
136	3503	22070
137	3521	21997
138	3542	21945
139	3571	21937
140	3594	21896
141	3617	21859
142	3640	21815
143	3666	21797
144	3687	21744
145	3705	21675
146	3725	21618
147	3749	21586
148	3771	21542
149	3801	21539
150	3830	21534
151	3855	21507
152	3876	21460
153	3900	21429
154	3926	21407
155	3956	21407
156	3983	21390
157	4008	21361
158	4032	21330
159	4049	21262
160	4065	21188
161	4091	21164
162	4111	21114
163	4140	21108
164	4169	21101
165	4197	21087
166	4239	21144
167	4274	21167
168	4294	21115
169	4320	21092
170	4343	21056
171	4366	21017
